id,user_id,role,created_at,email,institution,phone,name
43fd6211-017c-4e3b-b069-c2a50fdc57fb,43fd6211-017c-4e3b-b069-c2a50fdc57fb,author,2023-01-15T08:00:00Z,marie.k@upn.ac.cd,UPN,+243 123456789,Dr. Marie Kabongo
2d7e878e-d968-49ec-82e0-38cfd0da30d3,2d7e878e-d968-49ec-82e0-38cfd0da30d3,reviewer,2023-02-20T09:00:00Z,john.doe@example.com,Example University,+123 456789012,Dr. John Doe
76f0f9fb-bc2f-4457-8cdb-ef3626070a4a,76f0f9fb-bc2f-4457-8cdb-ef3626070a4a,admin,2023-03-10T10:00:00Z,jane.smith@example.com,Tech Institute,+123 987654321,Dr. Jane Smith
bcc94376-fbfa-446f-9d4e-83a1f5a4a994,bcc94376-fbfa-446f-9d4e-83a1f5a4a994,author,2023-04-05T11:00:00Z,alice.johnson@example.com,Science Academy,+123 123456789,Dr. Alice Johnson
c9f2b905-0f47-4670-8955-ac9482366575,c9f2b905-0f47-4670-8955-ac9482366575,reviewer,2023-05-15T12:00:00Z,bob.brown@example.com,Research Center,+123 456123789,Dr. Bob Brown
6acdb565-d42e-4ec4-808c-e53f3fd4c7ec,6acdb565-d42e-4ec4-808c-e53f3fd4c7ec,admin,2023-06-20T13:00:00Z,charlie.davis@example.com,Innovation Hub,+123 789456123,Dr. Charlie Davis
48c1a30f-d163-43de-a2b3-9be16a940f71,48c1a30f-d163-43de-a2b3-9be16a940f71,author,2023-07-25T14:00:00Z,emily.evans@example.com,Tech University,+123 321654987,Dr. Emily Evans
ab259cf4-3b75-4b90-8b2d-f264c22036fe,ab259cf4-3b75-4b90-8b2d-f264c22036fe,reviewer,2023-08-30T15:00:00Z,frank.green@example.com,Global Institute,+123 654789321,Dr. Frank Green
5496eadd-7639-47f8-af64-bebe3d78f06a,5496eadd-7639-47f8-af64-bebe3d78f06a,admin,2023-09-10T16:00:00Z,grace.harris@example.com,Future Labs,+123 987321654,Dr. Grace Harris
eb366285-39ba-4e9f-ac71-051bf14fd2d2,eb366285-39ba-4e9f-ac71-051bf14fd2d2,author,2023-10-15T17:00:00Z,henry.king@example.com,Tech Research Center,+123 456987123,Dr. Henry King
